,timeDerrotado
159,"[101, 104, 28, 39, 71]"
160,"[19, 22, 30, 71, 18]"
161,"[6, 55, 11, 99, 73]"
162,"[35, 20, 84, 21, 71]"
163,"[106, 25, 39, 7, 97]"
164,"[73, 86, 50, 55, 60]"
165,"[54, 19, 26, 21, 7]"
166,"[93, 103, 21, 74, 112]"
167,"[26, 4, 8, 55, 39]"
168,"[19, 11, 1, 82, 60]"
169,"[48, 26, 93, 42, 84]"
170,"[8, 74, 112, 2, 6]"
171,"[73, 106, 36, 112, 69]"
172,"[98, 91, 25, 62, 21]"
173,"[25, 67, 74, 112, 2]"
174,"[33, 60, 99, 14, 42]"
175,"[42, 25, 59, 69, 7]"
176,"[89, 106, 74, 104, 7]"
177,"[14, 106, 30, 71, 54]"
178,"[100, 74, 8, 37, 40]"
179,"[19, 17, 54, 25, 89]"
180,"[73, 75, 60, 1, 84]"
181,"[86, 75, 44, 98, 21]"
182,"[57, 9, 106, 8, 49]"
183,"[73, 93, 9, 30, 58]"
184,"[16, 62, 100, 8, 11]"
185,"[57, 35, 107, 86, 11]"
186,"[49, 73, 5, 26, 69]"
187,"[106, 62, 25, 2, 55]"
188,"[101, 72, 69, 76, 42]"
189,"[104, 38, 86, 25, 9]"
190,"[97, 74, 68, 1, 41]"
191,"[19, 11, 63, 5, 26]"
192,"[64, 33, 34, 31, 41]"
193,"[75, 9, 71, 11, 1]"
194,"[21, 7, 46, 6, 2]"
195,"[46, 9, 19, 97, 112]"
196,"[42, 11, 100, 107, 30]"
197,"[74, 21, 28, 99, 93]"
198,"[2, 68, 62, 42, 11]"
199,"[93, 21, 40, 112, 85]"
200,"[15, 55, 39, 71, 7]"
201,"[73, 11, 93, 2, 25]"
202,"[39, 75, 2, 25, 59]"
203,"[12, 36, 11, 32, 28]"
204,"[86, 4, 30, 39, 62]"
205,"[69, 11, 90, 100, 49]"
206,"[74, 106, 51, 86, 112]"
207,"[26, 71, 8, 7, 17]"
208,"[91, 39, 8, 93, 31]"
209,"[11, 112, 51, 73, 84]"
210,"[35, 25, 30, 70, 16]"
211,"[12, 57, 69, 4, 11]"
212,"[35, 5, 44, 39, 57]"
213,"[28, 25, 74, 14, 22]"
214,"[75, 21, 62, 110, 73]"
215,"[39, 72, 14, 54, 5]"
216,"[62, 18, 5, 94, 28]"
217,"[2, 85, 39, 84, 1]"
218,"[53, 39, 106, 70, 100]"
219,"[74, 18, 96, 7, 44]"
220,"[11, 98, 54, 69, 90]"
221,"[13, 2, 106, 7, 73]"
222,"[40, 50, 86, 59, 10]"
223,"[94, 62, 73, 100, 25]"
224,"[44, 52, 28, 87, 21]"
225,"[74, 4, 6, 3, 19]"
226,"[3, 11, 67, 88, 5]"
227,"[5, 53, 51, 42, 23]"
228,"[8, 19, 7, 11, 77]"
229,"[74, 12, 51, 104, 30]"
230,"[23, 46, 2, 106, 12]"
231,"[58, 62, 11, 111, 47]"
232,"[75, 17, 25, 109, 2]"
233,"[101, 8, 62, 11, 30]"
234,"[9, 47, 39, 23, 18]"
235,"[99, 35, 104, 69, 21]"
236,"[45, 106, 2, 39, 18]"
237,"[100, 111, 38, 99, 73]"
238,"[17, 80, 2, 25, 8]"
239,"[21, 88, 28, 71, 7]"
240,"[68, 2, 105, 39, 72]"
241,"[68, 26, 38, 19, 54]"
242,"[104, 1, 25, 22, 36]"
243,"[40, 20, 77, 25, 28]"
244,"[68, 9, 1, 21, 84]"
245,"[72, 79, 1, 46, 8]"
246,"[88, 71, 28, 106, 22]"
247,"[99, 1, 39, 9, 112]"
248,"[3, 73, 53, 7, 93]"
249,"[67, 21, 14, 2, 112]"
250,"[51, 7, 47, 106, 86]"
251,"[2, 17, 72, 65, 32]"
252,"[26, 46, 106, 86, 94]"
253,"[69, 68, 19, 11, 110]"
254,"[86, 94, 7, 1, 74]"
255,"[74, 50, 106, 21, 62]"
256,"[44, 5, 72, 89, 71]"
257,"[75, 109, 112, 107, 30]"
258,"[31, 8, 50, 28, 59]"
259,"[9, 72, 13, 7, 97]"
260,"[51, 22, 42, 28, 101]"
261,"[22, 56, 112, 7, 21]"
262,"[92, 42, 63, 26, 21]"
263,"[28, 53, 100, 46, 93]"
264,"[29, 106, 104, 88, 35]"
265,"[39, 14, 35, 112, 11]"
266,"[93, 16, 46, 37, 54]"
267,"[46, 7, 104, 22, 106]"
268,"[10, 44, 50, 25, 23]"
269,"[34, 37, 51, 53, 93]"
270,"[26, 21, 8, 47, 36]"
271,"[86, 35, 62, 55, 73]"
272,"[107, 1, 5, 21, 112]"
273,"[2, 3, 12, 90, 74]"
274,"[12, 28, 106, 104, 111]"
275,"[106, 40, 12, 21, 62]"
276,"[32, 44, 99, 11, 67]"
277,"[26, 11, 90, 72, 100]"
278,"[39, 11, 32, 110, 70]"
279,"[73, 51, 105, 5, 12]"
280,"[62, 12, 106, 87, 7]"
281,"[60, 8, 104, 11, 42]"
282,"[9, 74, 8, 28, 25]"
283,"[11, 75, 99, 93, 86]"
284,"[5, 104, 50, 29, 13]"
285,"[94, 31, 99, 21, 84]"
286,"[33, 110, 30, 36, 106]"
287,"[56, 34, 29, 73, 75]"
288,"[7, 21, 100, 48, 25]"
289,"[97, 5, 8, 112, 2]"
290,"[40, 94, 85, 38, 107]"
291,"[98, 70, 14, 53, 39]"
292,"[73, 28, 64, 6, 84]"
293,"[39, 74, 86, 9, 72]"
294,"[10, 25, 51, 54, 37]"
295,"[39, 57, 11, 21, 68]"
296,"[8, 97, 2, 39, 50]"
297,"[76, 79, 1, 47, 29]"
298,"[36, 21, 55, 31, 8]"
299,"[107, 57, 72, 9, 11]"
300,"[106, 74, 84, 30, 28]"
301,"[44, 26, 59, 69, 9]"
