,timeDerrotado
21971,"[86, 17, 106, 53, 7]"
21972,"[98, 91, 73, 19, 14]"
21973,"[11, 55, 87, 33, 1]"
21974,"[93, 2, 84, 7, 21]"
21975,"[42, 39, 21, 15, 87]"
21976,"[8, 5, 2, 74, 84]"
21977,"[40, 20, 69, 106, 74]"
21978,"[89, 92, 40, 98, 54]"
21979,"[1, 86, 64, 19, 100]"
21980,"[59, 16, 25, 2, 45]"
21981,"[88, 44, 83, 8, 73]"
21982,"[54, 25, 31, 21, 68]"
21983,"[13, 1, 94, 2, 87]"
21984,"[7, 95, 2, 106, 85]"
21985,"[17, 101, 71, 11, 41]"
21986,"[8, 75, 11, 88, 26]"
21987,"[41, 88, 87, 74, 25]"
21988,"[45, 84, 3, 36, 95]"
21989,"[75, 19, 67, 20, 22]"
21990,"[25, 100, 19, 86, 8]"
21991,"[94, 9, 17, 57, 100]"
21992,"[42, 19, 45, 10, 44]"
21993,"[50, 39, 71, 25, 59]"
21994,"[69, 79, 18, 25, 39]"
21995,"[106, 25, 68, 50, 28]"
21996,"[72, 7, 55, 11, 14]"
21997,"[26, 74, 104, 72, 21]"
21998,"[39, 6, 73, 20, 104]"
21999,"[20, 71, 46, 73, 69]"
22000,"[74, 29, 22, 13, 83]"
22001,"[40, 7, 102, 73, 76]"
22002,"[49, 44, 34, 9, 3]"
22003,"[73, 7, 106, 30, 110]"
22004,"[86, 28, 112, 49, 73]"
22005,"[84, 74, 68, 51, 70]"
22006,"[50, 49, 44, 13, 9]"
22007,"[99, 62, 106, 104, 86]"
22008,"[18, 100, 80, 107, 74]"
22009,"[71, 8, 14, 31, 57]"
22010,"[73, 107, 14, 11, 86]"
22011,"[19, 112, 59, 9, 15]"
22012,"[8, 87, 51, 73, 53]"
22013,"[109, 102, 87, 88, 73]"
22014,"[55, 100, 28, 85, 21]"
22015,"[7, 87, 8, 51, 94]"
22016,"[11, 53, 71, 68, 60]"
22017,"[21, 91, 63, 96, 83]"
22018,"[12, 90, 9, 21, 16]"
22019,"[100, 4, 38, 49, 21]"
22020,"[11, 53, 51, 50, 12]"
22021,"[104, 62, 63, 99, 14]"
22022,"[50, 11, 71, 7, 93]"
22023,"[14, 9, 68, 93, 112]"
22024,"[28, 14, 93, 105, 73]"
22025,"[7, 33, 98, 18, 39]"
22026,"[32, 50, 36, 54, 73]"
22027,"[21, 42, 7, 5, 39]"
22028,"[101, 67, 60, 104, 21]"
22029,"[72, 89, 100, 33, 19]"
22030,"[104, 7, 101, 19, 90]"
22031,"[86, 99, 56, 57, 25]"
22032,"[31, 1, 74, 69, 62]"
22033,"[25, 6, 5, 71, 11]"
22034,"[34, 29, 7, 42, 31]"
22035,"[105, 87, 11, 106, 100]"
22036,"[72, 104, 26, 36, 85]"
22037,"[2, 5, 73, 57, 8]"
22038,"[86, 8, 33, 40, 21]"
22039,"[11, 14, 93, 102, 9]"
22040,"[21, 97, 100, 28, 69]"
22041,"[58, 21, 25, 12, 95]"
22042,"[50, 7, 42, 11, 100]"
22043,"[32, 73, 93, 12, 59]"
22044,"[106, 69, 5, 47, 98]"
22045,"[19, 54, 55, 16, 5]"
22046,"[86, 21, 74, 23, 104]"
22047,"[31, 54, 104, 45, 6]"
22048,"[7, 47, 65, 25, 104]"
22049,"[11, 6, 21, 87, 62]"
22050,"[75, 74, 42, 57, 15]"
22051,"[69, 13, 19, 112, 8]"
22052,"[20, 41, 46, 72, 4]"
22053,"[2, 1, 57, 59, 83]"
22054,"[72, 75, 11, 58, 33]"
22055,"[47, 25, 2, 73, 97]"
22056,"[97, 30, 42, 62, 39]"
22057,"[18, 9, 101, 64, 69]"
22058,"[25, 49, 2, 112, 21]"
22059,"[25, 95, 74, 12, 71]"
22060,"[6, 30, 69, 76, 26]"
22061,"[4, 26, 9, 21, 7]"
22062,"[15, 5, 74, 62, 8]"
22063,"[18, 3, 17, 62, 21]"
22064,"[11, 75, 29, 44, 42]"
22065,"[59, 50, 60, 19, 69]"
22066,"[84, 72, 78, 100, 22]"
22067,"[31, 26, 39, 21, 83]"
22068,"[36, 74, 17, 44, 3]"
22069,"[100, 72, 73, 46, 84]"
22070,"[55, 19, 79, 68, 8]"
22071,"[30, 21, 85, 10, 86]"
22072,"[100, 39, 1, 75, 68]"
22073,"[74, 7, 4, 21, 81]"
22074,"[21, 92, 47, 100, 80]"
22075,"[35, 57, 63, 19, 15]"
22076,"[112, 21, 85, 74, 1]"
22077,"[100, 104, 39, 86, 63]"
22078,"[1, 19, 21, 102, 73]"
22079,"[71, 14, 73, 2, 50]"
22080,"[68, 15, 49, 38, 101]"
22081,"[101, 109, 15, 106, 86]"
22082,"[73, 93, 47, 17, 99]"
22083,"[93, 46, 10, 3, 11]"
22084,"[62, 74, 6, 56, 83]"
22085,"[9, 80, 106, 8, 20]"
22086,"[90, 28, 42, 100, 22]"
22087,"[12, 11, 47, 45, 99]"
22088,"[61, 5, 42, 75, 47]"
22089,"[50, 89, 100, 38, 47]"
22090,"[68, 55, 62, 39, 1]"
22091,"[74, 65, 68, 21, 106]"
22092,"[34, 23, 70, 73, 26]"
22093,"[84, 6, 74, 40, 73]"
22094,"[11, 8, 56, 29, 30]"
22095,"[17, 20, 107, 28, 32]"
22096,"[73, 101, 8, 50, 74]"
22097,"[104, 21, 111, 2, 92]"
22098,"[20, 50, 28, 67, 52]"
22099,"[35, 104, 75, 44, 79]"
22100,"[44, 62, 5, 17, 73]"
22101,"[99, 5, 94, 74, 31]"
22102,"[19, 14, 21, 28, 1]"
22103,"[73, 53, 62, 35, 110]"
22104,"[1, 106, 50, 21, 38]"
22105,"[106, 97, 7, 76, 14]"
22106,"[11, 65, 27, 42, 107]"
22107,"[26, 95, 71, 59, 21]"
22108,"[38, 21, 93, 1, 68]"
22109,"[74, 51, 70, 72, 22]"
22110,"[74, 2, 12, 26, 30]"
22111,"[20, 57, 47, 70, 71]"
22112,"[7, 39, 74, 42, 98]"
22113,"[92, 72, 99, 39, 57]"
22114,"[74, 98, 21, 35, 30]"
22115,"[30, 97, 19, 8, 91]"
22116,"[30, 73, 48, 69, 7]"
22117,"[84, 42, 106, 76, 22]"
22118,"[71, 47, 87, 51, 8]"
22119,"[7, 51, 12, 59, 87]"
22120,"[86, 72, 40, 28, 21]"
22121,"[27, 21, 8, 69, 20]"
22122,"[93, 75, 5, 14, 84]"
22123,"[39, 63, 57, 87, 6]"
22124,"[68, 29, 1, 11, 84]"
22125,"[9, 4, 72, 5, 22]"
22126,"[23, 100, 44, 46, 49]"
22127,"[69, 9, 85, 49, 101]"
22128,"[29, 19, 106, 71, 68]"
22129,"[29, 22, 53, 21, 67]"
22130,"[75, 5, 47, 71, 67]"
22131,"[79, 59, 25, 88, 44]"
22132,"[51, 8, 70, 87, 109]"
22133,"[45, 75, 11, 28, 8]"
22134,"[34, 21, 83, 42, 20]"
22135,"[50, 14, 9, 99, 35]"
22136,"[7, 41, 21, 26, 47]"
22137,"[39, 9, 112, 59, 2]"
22138,"[100, 18, 86, 80, 14]"
22139,"[15, 21, 14, 40, 67]"
22140,"[11, 39, 62, 14, 1]"
22141,"[28, 74, 93, 19, 25]"
22142,"[39, 79, 85, 73, 107]"
22143,"[5, 21, 25, 95, 51]"
22144,"[8, 9, 73, 17, 60]"
22145,"[21, 31, 34, 25, 74]"
22146,"[63, 39, 7, 74, 26]"
22147,"[56, 3, 19, 91, 9]"
22148,"[104, 74, 88, 5, 72]"
22149,"[98, 104, 25, 112, 2]"
22150,"[85, 106, 79, 7, 12]"
22151,"[72, 5, 46, 7, 47]"
22152,"[17, 15, 20, 71, 5]"
22153,"[59, 3, 7, 106, 36]"
22154,"[21, 53, 22, 28, 69]"
22155,"[42, 39, 88, 68, 7]"
22156,"[50, 106, 9, 97, 59]"
22157,"[111, 35, 50, 98, 18]"
22158,"[73, 14, 66, 55, 54]"
22159,"[36, 74, 105, 21, 59]"
22160,"[55, 19, 22, 68, 86]"
22161,"[87, 39, 99, 37, 56]"
22162,"[100, 96, 11, 81, 75]"
22163,"[8, 51, 68, 106, 62]"
22164,"[31, 2, 23, 61, 93]"
22165,"[5, 104, 106, 62, 72]"
22166,"[26, 74, 56, 50, 73]"
22167,"[59, 39, 50, 28, 26]"
22168,"[98, 50, 21, 19, 7]"
22169,"[1, 31, 2, 100, 25]"
22170,"[49, 72, 3, 6, 17]"
22171,"[42, 11, 39, 86, 14]"
22172,"[98, 11, 90, 2, 19]"
22173,"[30, 2, 49, 48, 64]"
22174,"[33, 9, 63, 102, 37]"
22175,"[71, 35, 2, 64, 93]"
22176,"[7, 86, 74, 9, 12]"
22177,"[72, 22, 33, 104, 106]"
22178,"[56, 16, 26, 47, 48]"
22179,"[28, 47, 111, 73, 68]"
22180,"[7, 21, 15, 64, 106]"
22181,"[28, 30, 6, 11, 50]"
22182,"[67, 21, 5, 100, 71]"
22183,"[96, 25, 27, 93, 39]"
22184,"[25, 112, 39, 5, 93]"
22185,"[74, 31, 26, 72, 59]"
22186,"[95, 85, 104, 34, 14]"
22187,"[112, 28, 5, 21, 8]"
22188,"[61, 85, 47, 74, 104]"
22189,"[59, 70, 25, 48, 62]"
22190,"[54, 74, 11, 57, 6]"
22191,"[14, 25, 41, 68, 54]"
22192,"[106, 27, 51, 5, 44]"
22193,"[70, 23, 58, 30, 21]"
22194,"[99, 112, 3, 54, 23]"
22195,"[20, 5, 72, 11, 55]"
22196,"[55, 12, 106, 101, 19]"
22197,"[55, 2, 1, 47, 64]"
22198,"[36, 68, 93, 25, 75]"
22199,"[87, 73, 112, 88, 74]"
22200,"[30, 85, 39, 1, 40]"
22201,"[8, 5, 21, 40, 85]"
22202,"[7, 5, 46, 106, 21]"
22203,"[3, 63, 49, 37, 112]"
22204,"[102, 110, 106, 12, 31]"
22205,"[57, 21, 28, 11, 61]"
22206,"[17, 1, 71, 5, 97]"
22207,"[75, 60, 101, 88, 42]"
22208,"[106, 11, 55, 14, 31]"
22209,"[5, 85, 110, 8, 74]"
22210,"[106, 16, 45, 18, 105]"
22211,"[39, 62, 5, 4, 106]"
22212,"[64, 41, 21, 106, 11]"
22213,"[1, 21, 14, 25, 84]"
22214,"[55, 68, 112, 21, 1]"
22215,"[42, 103, 96, 46, 9]"
22216,"[11, 2, 100, 75, 112]"
22217,"[103, 84, 47, 20, 73]"
22218,"[55, 23, 62, 88, 8]"
22219,"[100, 72, 66, 6, 21]"
22220,"[29, 67, 21, 25, 70]"
22221,"[46, 62, 100, 9, 48]"
22222,"[11, 112, 74, 2, 45]"
22223,"[75, 55, 11, 4, 27]"
22224,"[5, 47, 104, 21, 55]"
22225,"[76, 7, 12, 104, 26]"
22226,"[100, 22, 93, 26, 21]"
22227,"[96, 22, 25, 72, 75]"
22228,"[44, 84, 91, 78, 8]"
22229,"[42, 81, 46, 50, 43]"
22230,"[83, 37, 72, 25, 9]"
22231,"[106, 101, 8, 100, 7]"
22232,"[27, 25, 28, 93, 13]"
22233,"[74, 97, 106, 20, 79]"
22234,"[21, 26, 79, 81, 85]"
22235,"[69, 44, 79, 41, 68]"
22236,"[97, 25, 8, 74, 84]"
22237,"[90, 54, 14, 35, 73]"
22238,"[38, 84, 92, 21, 8]"
22239,"[39, 55, 17, 2, 79]"
22240,"[46, 59, 69, 11, 39]"
22241,"[19, 86, 28, 36, 39]"
22242,"[21, 68, 47, 72, 16]"
22243,"[50, 26, 8, 14, 28]"
22244,"[11, 102, 28, 100, 21]"
22245,"[112, 59, 42, 21, 50]"
22246,"[106, 27, 97, 22, 64]"
22247,"[4, 41, 94, 39, 5]"
22248,"[7, 82, 8, 30, 22]"
22249,"[40, 34, 67, 14, 20]"
22250,"[84, 53, 23, 90, 93]"
22251,"[69, 26, 7, 106, 40]"
22252,"[5, 17, 28, 106, 30]"
22253,"[51, 11, 9, 106, 100]"
22254,"[5, 19, 11, 71, 1]"
22255,"[19, 69, 68, 21, 22]"
22256,"[112, 12, 71, 21, 7]"
22257,"[25, 39, 88, 36, 1]"
22258,"[86, 25, 77, 46, 8]"
22259,"[39, 106, 14, 105, 19]"
22260,"[110, 91, 50, 19, 82]"
22261,"[80, 112, 74, 67, 75]"
22262,"[40, 16, 42, 11, 14]"
22263,"[54, 105, 104, 71, 28]"
22264,"[72, 19, 2, 34, 30]"
22265,"[61, 11, 5, 54, 40]"
22266,"[75, 8, 33, 89, 39]"
22267,"[74, 1, 112, 85, 28]"
22268,"[50, 74, 21, 93, 31]"
22269,"[2, 106, 74, 104, 36]"
22270,"[50, 34, 19, 57, 62]"
22271,"[69, 31, 41, 106, 79]"
22272,"[68, 4, 7, 100, 69]"
22273,"[106, 86, 99, 77, 53]"
22274,"[51, 53, 11, 57, 102]"
22275,"[74, 5, 39, 69, 28]"
22276,"[27, 25, 98, 51, 76]"
22277,"[56, 95, 8, 5, 88]"
22278,"[36, 98, 6, 8, 33]"
22279,"[25, 19, 40, 1, 68]"
22280,"[8, 42, 5, 43, 30]"
22281,"[86, 21, 9, 28, 93]"
22282,"[68, 110, 39, 42, 2]"
22283,"[8, 28, 36, 46, 87]"
22284,"[93, 102, 62, 21, 74]"
22285,"[104, 17, 9, 44, 28]"
22286,"[15, 104, 52, 43, 57]"
22287,"[91, 19, 76, 69, 32]"
22288,"[77, 21, 14, 62, 19]"
22289,"[16, 72, 50, 73, 9]"
22290,"[39, 36, 41, 55, 53]"
22291,"[62, 7, 82, 50, 28]"
22292,"[21, 41, 31, 68, 72]"
22293,"[22, 68, 12, 74, 9]"
22294,"[110, 31, 5, 107, 72]"
22295,"[31, 73, 70, 86, 28]"
22296,"[72, 20, 91, 18, 77]"
22297,"[31, 102, 16, 1, 36]"
22298,"[106, 72, 3, 51, 62]"
22299,"[69, 19, 90, 93, 112]"
22300,"[56, 100, 36, 21, 47]"
22301,"[48, 69, 86, 100, 21]"
22302,"[68, 25, 29, 86, 73]"
22303,"[102, 36, 21, 100, 15]"
22304,"[21, 84, 2, 89, 97]"
22305,"[71, 72, 86, 75, 39]"
22306,"[75, 11, 39, 55, 68]"
22307,"[74, 1, 28, 31, 22]"
22308,"[69, 67, 79, 11, 100]"
22309,"[11, 39, 67, 101, 42]"
22310,"[9, 7, 70, 3, 76]"
22311,"[11, 41, 75, 39, 70]"
22312,"[46, 26, 97, 73, 62]"
22313,"[100, 74, 54, 86, 67]"
22314,"[40, 27, 32, 18, 46]"
22315,"[69, 27, 7, 11, 21]"
22316,"[14, 68, 11, 88, 48]"
22317,"[104, 14, 19, 7, 13]"
22318,"[44, 50, 72, 27, 11]"
22319,"[99, 44, 77, 35, 5]"
22320,"[89, 110, 28, 112, 23]"
22321,"[84, 73, 9, 15, 3]"
22322,"[73, 68, 44, 72, 7]"
22323,"[14, 56, 28, 82, 88]"
22324,"[8, 16, 99, 11, 81]"
22325,"[40, 62, 1, 28, 25]"
22326,"[31, 25, 99, 91, 42]"
22327,"[74, 62, 21, 18, 31]"
22328,"[19, 74, 112, 12, 88]"
22329,"[29, 5, 75, 63, 26]"
22330,"[66, 1, 35, 14, 26]"
22331,"[34, 28, 8, 95, 48]"
22332,"[29, 44, 68, 21, 7]"
22333,"[30, 74, 8, 100, 5]"
22334,"[14, 93, 7, 23, 16]"
22335,"[109, 71, 84, 70, 8]"
22336,"[26, 11, 74, 81, 62]"
22337,"[100, 7, 27, 85, 93]"
22338,"[84, 100, 29, 36, 73]"
22339,"[87, 72, 74, 11, 71]"
22340,"[39, 90, 17, 41, 111]"
22341,"[67, 26, 91, 55, 21]"
22342,"[30, 1, 100, 74, 34]"
22343,"[74, 41, 30, 45, 75]"
22344,"[70, 100, 22, 53, 11]"
22345,"[7, 9, 21, 73, 20]"
22346,"[97, 31, 44, 32, 20]"
22347,"[12, 7, 5, 59, 99]"
22348,"[52, 74, 41, 8, 98]"
22349,"[68, 11, 71, 51, 74]"
22350,"[90, 41, 72, 46, 58]"
22351,"[90, 69, 46, 6, 77]"
22352,"[51, 73, 105, 26, 65]"
22353,"[69, 106, 7, 93, 100]"
22354,"[5, 44, 73, 94, 102]"
22355,"[18, 100, 74, 73, 79]"
22356,"[8, 3, 106, 11, 60]"
22357,"[74, 81, 69, 71, 84]"
22358,"[7, 44, 104, 93, 49]"
22359,"[106, 74, 2, 50, 42]"
22360,"[92, 42, 39, 9, 93]"
22361,"[50, 44, 47, 28, 16]"
22362,"[7, 97, 83, 23, 25]"
22363,"[21, 106, 94, 75, 100]"
22364,"[47, 71, 21, 86, 72]"
22365,"[35, 93, 14, 50, 53]"
22366,"[39, 90, 62, 106, 29]"
22367,"[2, 54, 25, 39, 51]"
22368,"[41, 38, 14, 4, 64]"
22369,"[99, 102, 74, 112, 94]"
22370,"[5, 47, 11, 54, 96]"
22371,"[59, 39, 21, 27, 63]"
22372,"[110, 62, 39, 8, 87]"
22373,"[62, 5, 28, 71, 106]"
22374,"[93, 99, 74, 2, 75]"
22375,"[74, 28, 30, 56, 71]"
22376,"[44, 8, 31, 21, 25]"
22377,"[90, 97, 44, 105, 107]"
22378,"[22, 8, 23, 53, 50]"
22379,"[93, 60, 28, 50, 21]"
22380,"[85, 11, 5, 26, 67]"
22381,"[58, 104, 74, 26, 12]"
22382,"[86, 14, 42, 11, 100]"
22383,"[73, 82, 34, 21, 84]"
22384,"[74, 30, 68, 85, 2]"
22385,"[28, 74, 25, 75, 1]"
22386,"[97, 17, 54, 9, 101]"
22387,"[39, 110, 75, 44, 14]"
22388,"[7, 106, 26, 2, 72]"
22389,"[104, 93, 29, 66, 21]"
22390,"[14, 64, 6, 21, 84]"
22391,"[51, 25, 106, 32, 6]"
22392,"[37, 97, 25, 2, 4]"
22393,"[42, 2, 25, 62, 79]"
22394,"[55, 44, 112, 21, 60]"
22395,"[67, 59, 86, 38, 69]"
22396,"[56, 62, 21, 20, 41]"
22397,"[21, 88, 30, 41, 14]"
22398,"[14, 21, 57, 23, 88]"
22399,"[106, 97, 3, 39, 42]"
22400,"[11, 1, 69, 87, 104]"
22401,"[11, 60, 68, 93, 102]"
22402,"[11, 31, 86, 47, 109]"
22403,"[50, 18, 27, 12, 41]"
22404,"[4, 20, 14, 11, 59]"
22405,"[55, 32, 21, 5, 1]"
22406,"[19, 89, 69, 74, 14]"
22407,"[8, 106, 21, 102, 39]"
22408,"[100, 21, 81, 30, 8]"
22409,"[100, 88, 73, 104, 19]"
22410,"[81, 26, 57, 21, 85]"
22411,"[93, 5, 61, 28, 21]"
22412,"[3, 33, 15, 46, 9]"
22413,"[62, 101, 59, 46, 8]"
22414,"[53, 2, 34, 100, 11]"
22415,"[28, 52, 7, 104, 11]"
22416,"[1, 112, 61, 100, 21]"
22417,"[45, 44, 2, 19, 40]"
22418,"[85, 100, 71, 88, 1]"
22419,"[8, 100, 25, 14, 84]"
22420,"[2, 9, 3, 14, 72]"
22421,"[84, 100, 63, 17, 74]"
22422,"[2, 68, 16, 85, 106]"
22423,"[16, 15, 13, 71, 21]"
22424,"[67, 105, 100, 106, 7]"
22425,"[11, 31, 1, 103, 2]"
22426,"[64, 85, 97, 75, 41]"
22427,"[74, 70, 44, 110, 5]"
22428,"[8, 68, 86, 100, 11]"
22429,"[42, 74, 84, 30, 28]"
22430,"[102, 73, 44, 32, 98]"
22431,"[17, 105, 50, 74, 61]"
22432,"[86, 74, 90, 93, 51]"
22433,"[1, 112, 60, 17, 25]"
22434,"[106, 57, 39, 18, 87]"
22435,"[3, 76, 62, 93, 55]"
22436,"[15, 112, 39, 73, 26]"
22437,"[75, 96, 62, 74, 41]"
22438,"[97, 21, 45, 93, 30]"
22439,"[85, 83, 8, 11, 4]"
22440,"[71, 82, 7, 86, 11]"
22441,"[8, 5, 21, 100, 32]"
22442,"[67, 21, 60, 77, 14]"
22443,"[39, 104, 21, 106, 27]"
22444,"[100, 72, 71, 74, 10]"
22445,"[5, 1, 53, 60, 106]"
22446,"[112, 1, 11, 3, 61]"
22447,"[96, 31, 68, 48, 73]"
22448,"[69, 23, 72, 25, 60]"
22449,"[19, 10, 106, 0, 74]"
22450,"[11, 42, 13, 39, 86]"
22451,"[19, 68, 40, 5, 74]"
22452,"[11, 86, 106, 99, 70]"
22453,"[21, 93, 39, 62, 69]"
22454,"[84, 72, 40, 67, 112]"
22455,"[11, 28, 69, 67, 31]"
22456,"[7, 31, 1, 39, 25]"
22457,"[57, 17, 81, 2, 42]"
22458,"[16, 71, 8, 26, 91]"
22459,"[14, 46, 8, 87, 19]"
22460,"[5, 69, 39, 73, 8]"
22461,"[106, 100, 11, 69, 112]"
22462,"[74, 7, 51, 106, 26]"
22463,"[23, 11, 72, 100, 86]"
22464,"[72, 98, 102, 39, 68]"
22465,"[57, 49, 63, 11, 93]"
22466,"[99, 112, 44, 71, 43]"
22467,"[69, 74, 25, 42, 26]"
22468,"[93, 26, 58, 21, 34]"
22469,"[1, 19, 91, 62, 50]"
22470,"[98, 39, 106, 64, 100]"
22471,"[21, 28, 5, 25, 32]"
22472,"[40, 69, 64, 8, 38]"
22473,"[23, 30, 104, 11, 32]"
22474,"[39, 85, 7, 25, 8]"
22475,"[75, 73, 69, 71, 30]"
22476,"[1, 47, 106, 86, 102]"
22477,"[74, 29, 5, 60, 41]"
22478,"[93, 101, 11, 36, 26]"
22479,"[63, 107, 3, 19, 102]"
22480,"[56, 3, 46, 51, 9]"
22481,"[22, 60, 106, 11, 69]"
22482,"[36, 12, 7, 25, 11]"
22483,"[21, 68, 7, 39, 67]"
22484,"[21, 84, 93, 70, 74]"
22485,"[75, 14, 62, 18, 45]"
22486,"[60, 8, 12, 30, 14]"
22487,"[90, 21, 7, 12, 74]"
22488,"[65, 72, 25, 62, 21]"
22489,"[18, 85, 73, 107, 44]"
22490,"[50, 106, 7, 59, 69]"
22491,"[27, 53, 71, 80, 73]"
22492,"[16, 22, 74, 104, 100]"
22493,"[84, 98, 33, 56, 44]"
22494,"[21, 5, 97, 93, 20]"
22495,"[44, 46, 12, 25, 9]"
22496,"[7, 89, 1, 11, 98]"
22497,"[8, 106, 68, 112, 2]"
22498,"[11, 112, 7, 1, 90]"
22499,"[62, 11, 68, 21, 93]"
22500,"[12, 39, 50, 21, 31]"
22501,"[98, 88, 104, 11, 93]"
22502,"[51, 112, 106, 74, 25]"
22503,"[30, 97, 23, 1, 17]"
22504,"[104, 74, 68, 93, 50]"
22505,"[43, 99, 47, 19, 23]"
22506,"[104, 98, 82, 59, 112]"
22507,"[69, 26, 94, 46, 14]"
22508,"[79, 51, 25, 73, 74]"
22509,"[22, 85, 98, 74, 72]"
22510,"[2, 56, 13, 9, 8]"
22511,"[26, 41, 84, 63, 44]"
22512,"[1, 28, 86, 19, 31]"
22513,"[87, 59, 30, 93, 69]"
22514,"[47, 31, 34, 86, 69]"
22515,"[60, 82, 56, 63, 7]"
22516,"[53, 14, 106, 74, 60]"
22517,"[87, 59, 100, 101, 106]"
22518,"[89, 16, 94, 105, 86]"
22519,"[93, 71, 46, 27, 16]"
22520,"[28, 3, 25, 56, 74]"
22521,"[14, 28, 73, 106, 27]"
22522,"[93, 33, 16, 71, 72]"
22523,"[86, 36, 9, 75, 56]"
22524,"[40, 19, 21, 35, 68]"
22525,"[105, 14, 106, 70, 60]"
22526,"[102, 34, 92, 40, 45]"
22527,"[12, 11, 50, 16, 55]"
22528,"[28, 42, 50, 21, 32]"
22529,"[15, 94, 5, 44, 16]"
22530,"[95, 59, 15, 102, 87]"
22531,"[106, 73, 112, 55, 62]"
22532,"[106, 1, 40, 19, 7]"
22533,"[69, 21, 7, 57, 104]"
22534,"[7, 75, 35, 36, 62]"
22535,"[11, 87, 9, 72, 104]"
22536,"[72, 29, 11, 101, 30]"
22537,"[82, 93, 14, 112, 69]"
22538,"[104, 54, 45, 21, 106]"
22539,"[61, 106, 53, 22, 30]"
22540,"[96, 57, 41, 11, 100]"
22541,"[1, 5, 106, 69, 50]"
22542,"[26, 71, 30, 47, 36]"
22543,"[27, 85, 67, 9, 13]"
22544,"[91, 19, 21, 75, 14]"
22545,"[27, 73, 14, 41, 25]"
22546,"[71, 55, 2, 1, 18]"
22547,"[28, 15, 100, 30, 8]"
22548,"[67, 75, 101, 38, 82]"
22549,"[15, 14, 21, 86, 74]"
22550,"[85, 59, 36, 50, 76]"
22551,"[14, 20, 25, 33, 93]"
22552,"[21, 69, 100, 44, 31]"
22553,"[26, 21, 11, 28, 54]"
22554,"[7, 1, 110, 68, 39]"
22555,"[102, 7, 59, 71, 106]"
22556,"[5, 100, 69, 42, 74]"
22557,"[23, 45, 61, 75, 68]"
22558,"[63, 8, 86, 25, 71]"
22559,"[14, 90, 21, 109, 32]"
22560,"[93, 11, 14, 88, 74]"
22561,"[4, 15, 26, 68, 71]"
22562,"[106, 50, 21, 35, 69]"
22563,"[9, 35, 98, 74, 30]"
22564,"[13, 33, 110, 112, 18]"
22565,"[97, 67, 74, 45, 30]"
22566,"[19, 72, 1, 62, 27]"
22567,"[19, 22, 26, 50, 7]"
22568,"[104, 26, 63, 31, 8]"
22569,"[8, 104, 31, 80, 14]"
22570,"[50, 42, 46, 23, 53]"
22571,"[85, 2, 82, 5, 1]"
22572,"[75, 19, 88, 67, 100]"
22573,"[70, 51, 50, 14, 73]"
22574,"[1, 14, 36, 39, 74]"
22575,"[39, 10, 84, 86, 99]"
22576,"[7, 17, 68, 100, 39]"
22577,"[8, 26, 37, 42, 55]"
22578,"[21, 79, 11, 106, 68]"
22579,"[21, 69, 31, 33, 106]"
22580,"[42, 68, 11, 7, 13]"
22581,"[4, 6, 47, 21, 38]"
22582,"[85, 73, 30, 106, 36]"
22583,"[21, 8, 87, 85, 7]"
22584,"[60, 26, 18, 56, 21]"
22585,"[100, 101, 97, 49, 98]"
22586,"[46, 33, 28, 11, 50]"
22587,"[36, 2, 86, 93, 69]"
22588,"[75, 71, 9, 45, 86]"
22589,"[68, 74, 42, 16, 18]"
22590,"[18, 11, 14, 9, 25]"
22591,"[43, 74, 84, 95, 106]"
22592,"[19, 74, 53, 63, 9]"
22593,"[68, 7, 97, 44, 112]"
22594,"[74, 21, 112, 58, 69]"
22595,"[25, 84, 34, 74, 54]"
22596,"[73, 35, 12, 74, 75]"
22597,"[55, 100, 31, 106, 12]"
22598,"[21, 8, 57, 39, 26]"
22599,"[20, 11, 51, 84, 106]"
22600,"[11, 47, 14, 7, 25]"
22601,"[93, 74, 104, 50, 96]"
22602,"[50, 73, 11, 104, 9]"
22603,"[72, 73, 69, 50, 79]"
22604,"[73, 100, 10, 85, 96]"
22605,"[37, 44, 99, 101, 23]"
22606,"[105, 27, 14, 73, 19]"
22607,"[36, 14, 82, 85, 42]"
22608,"[21, 93, 83, 68, 96]"
22609,"[82, 104, 28, 17, 74]"
22610,"[51, 106, 25, 104, 11]"
22611,"[1, 100, 7, 73, 5]"
22612,"[22, 95, 14, 59, 85]"
22613,"[1, 107, 11, 87, 57]"
22614,"[74, 44, 20, 41, 21]"
22615,"[7, 25, 12, 19, 107]"
22616,"[97, 112, 68, 93, 106]"
22617,"[86, 112, 100, 106, 46]"
22618,"[63, 49, 10, 93, 30]"
22619,"[21, 14, 93, 106, 112]"
22620,"[21, 12, 3, 50, 85]"
22621,"[56, 92, 30, 23, 21]"
22622,"[7, 100, 87, 8, 74]"
22623,"[12, 21, 50, 32, 74]"
22624,"[55, 12, 13, 50, 7]"
22625,"[19, 40, 25, 32, 23]"
22626,"[86, 1, 39, 68, 9]"
22627,"[51, 73, 83, 54, 95]"
22628,"[59, 45, 94, 53, 21]"
22629,"[110, 68, 97, 18, 14]"
22630,"[50, 47, 86, 49, 76]"
22631,"[46, 14, 72, 111, 19]"
22632,"[27, 4, 34, 44, 99]"
22633,"[88, 21, 41, 25, 75]"
22634,"[43, 71, 48, 74, 110]"
22635,"[112, 53, 74, 12, 9]"
22636,"[1, 83, 28, 11, 3]"
