"file:/C:/Users/flavi/Google%20Drive/Doutorado/Ciencia%20de%20Redes/dotaComplementar.mat_2","interaction","name","selected","shared interaction","shared name"
"1.0","interacts with","Node 100 (interacts with) Node 107","false","interacts with","Node 100 (interacts with) Node 107"
"1.0","interacts with","Node 101 (interacts with) Node 112","false","interacts with","Node 101 (interacts with) Node 112"
"1.0","interacts with","Node 101 (interacts with) Node 102","false","interacts with","Node 101 (interacts with) Node 102"
"1.0","interacts with","Node 101 (interacts with) Node 107","false","interacts with","Node 101 (interacts with) Node 107"
"1.0","interacts with","Node 102 (interacts with) Node 103","false","interacts with","Node 102 (interacts with) Node 103"
"1.0","interacts with","Node 102 (interacts with) Node 107","false","interacts with","Node 102 (interacts with) Node 107"
"1.0","interacts with","Node 103 (interacts with) Node 112","false","interacts with","Node 103 (interacts with) Node 112"
"1.0","interacts with","Node 103 (interacts with) Node 104","false","interacts with","Node 103 (interacts with) Node 104"
"1.0","interacts with","Node 103 (interacts with) Node 107","false","interacts with","Node 103 (interacts with) Node 107"
"1.0","interacts with","Node 104 (interacts with) Node 105","false","interacts with","Node 104 (interacts with) Node 105"
"1.0","interacts with","Node 104 (interacts with) Node 107","false","interacts with","Node 104 (interacts with) Node 107"
"1.0","interacts with","Node 105 (interacts with) Node 112","false","interacts with","Node 105 (interacts with) Node 112"
"1.0","interacts with","Node 105 (interacts with) Node 106","false","interacts with","Node 105 (interacts with) Node 106"
"1.0","interacts with","Node 105 (interacts with) Node 107","false","interacts with","Node 105 (interacts with) Node 107"
"1.0","interacts with","Node 106 (interacts with) Node 112","false","interacts with","Node 106 (interacts with) Node 112"
"1.0","interacts with","Node 106 (interacts with) Node 107","false","interacts with","Node 106 (interacts with) Node 107"
"1.0","interacts with","Node 106 (interacts with) Node 108","false","interacts with","Node 106 (interacts with) Node 108"
"1.0","interacts with","Node 106 (interacts with) Node 109","false","interacts with","Node 106 (interacts with) Node 109"
"1.0","interacts with","Node 106 (interacts with) Node 110","false","interacts with","Node 106 (interacts with) Node 110"
"1.0","interacts with","Node 106 (interacts with) Node 111","false","interacts with","Node 106 (interacts with) Node 111"
"1.0","interacts with","Node 107 (interacts with) Node 112","false","interacts with","Node 107 (interacts with) Node 112"
"1.0","interacts with","Node 107 (interacts with) Node 108","false","interacts with","Node 107 (interacts with) Node 108"
"1.0","interacts with","Node 108 (interacts with) Node 112","false","interacts with","Node 108 (interacts with) Node 112"
"1.0","interacts with","Node 108 (interacts with) Node 109","false","interacts with","Node 108 (interacts with) Node 109"
"1.0","interacts with","Node 109 (interacts with) Node 112","false","interacts with","Node 109 (interacts with) Node 112"
"1.0","interacts with","Node 109 (interacts with) Node 110","false","interacts with","Node 109 (interacts with) Node 110"
"1.0","interacts with","Node 110 (interacts with) Node 111","false","interacts with","Node 110 (interacts with) Node 111"
"1.0","interacts with","Node 111 (interacts with) Node 112","false","interacts with","Node 111 (interacts with) Node 112"
