"file:/C:/Users/flavi/Google%20Drive/Doutorado/Ciencia%20de%20Redes/dotaComplementar.mat_2","interaction","name","selected","shared interaction","shared name"
"1.0","interacts with","Node 24 (interacts with) Node 107","false","interacts with","Node 24 (interacts with) Node 107"
"1.0","interacts with","Node 25 (interacts with) Node 112","false","interacts with","Node 25 (interacts with) Node 112"
"1.0","interacts with","Node 25 (interacts with) Node 26","false","interacts with","Node 25 (interacts with) Node 26"
"1.0","interacts with","Node 25 (interacts with) Node 107","false","interacts with","Node 25 (interacts with) Node 107"
"1.0","interacts with","Node 26 (interacts with) Node 112","false","interacts with","Node 26 (interacts with) Node 112"
"1.0","interacts with","Node 26 (interacts with) Node 27","false","interacts with","Node 26 (interacts with) Node 27"
"1.0","interacts with","Node 26 (interacts with) Node 107","false","interacts with","Node 26 (interacts with) Node 107"
"1.0","interacts with","Node 27 (interacts with) Node 112","false","interacts with","Node 27 (interacts with) Node 112"
"1.0","interacts with","Node 27 (interacts with) Node 107","false","interacts with","Node 27 (interacts with) Node 107"
"1.0","interacts with","Node 27 (interacts with) Node 28","false","interacts with","Node 27 (interacts with) Node 28"
"1.0","interacts with","Node 28 (interacts with) Node 112","false","interacts with","Node 28 (interacts with) Node 112"
"1.0","interacts with","Node 28 (interacts with) Node 107","false","interacts with","Node 28 (interacts with) Node 107"
"1.0","interacts with","Node 28 (interacts with) Node 29","false","interacts with","Node 28 (interacts with) Node 29"
"1.0","interacts with","Node 29 (interacts with) Node 112","false","interacts with","Node 29 (interacts with) Node 112"
"1.0","interacts with","Node 29 (interacts with) Node 107","false","interacts with","Node 29 (interacts with) Node 107"
"1.0","interacts with","Node 29 (interacts with) Node 30","false","interacts with","Node 29 (interacts with) Node 30"
"1.0","interacts with","Node 30 (interacts with) Node 112","false","interacts with","Node 30 (interacts with) Node 112"
"1.0","interacts with","Node 30 (interacts with) Node 107","false","interacts with","Node 30 (interacts with) Node 107"
"1.0","interacts with","Node 30 (interacts with) Node 31","false","interacts with","Node 30 (interacts with) Node 31"
"1.0","interacts with","Node 31 (interacts with) Node 32","false","interacts with","Node 31 (interacts with) Node 32"
"1.0","interacts with","Node 31 (interacts with) Node 112","false","interacts with","Node 31 (interacts with) Node 112"
"1.0","interacts with","Node 31 (interacts with) Node 107","false","interacts with","Node 31 (interacts with) Node 107"
"1.0","interacts with","Node 32 (interacts with) Node 33","false","interacts with","Node 32 (interacts with) Node 33"
"1.0","interacts with","Node 32 (interacts with) Node 107","false","interacts with","Node 32 (interacts with) Node 107"
"1.0","interacts with","Node 33 (interacts with) Node 112","false","interacts with","Node 33 (interacts with) Node 112"
"1.0","interacts with","Node 33 (interacts with) Node 34","false","interacts with","Node 33 (interacts with) Node 34"
"1.0","interacts with","Node 33 (interacts with) Node 107","false","interacts with","Node 33 (interacts with) Node 107"
"1.0","interacts with","Node 34 (interacts with) Node 112","false","interacts with","Node 34 (interacts with) Node 112"
"1.0","interacts with","Node 34 (interacts with) Node 35","false","interacts with","Node 34 (interacts with) Node 35"
"1.0","interacts with","Node 34 (interacts with) Node 107","false","interacts with","Node 34 (interacts with) Node 107"
"1.0","interacts with","Node 35 (interacts with) Node 112","false","interacts with","Node 35 (interacts with) Node 112"
"1.0","interacts with","Node 35 (interacts with) Node 36","false","interacts with","Node 35 (interacts with) Node 36"
"1.0","interacts with","Node 35 (interacts with) Node 107","false","interacts with","Node 35 (interacts with) Node 107"
"1.0","interacts with","Node 36 (interacts with) Node 112","false","interacts with","Node 36 (interacts with) Node 112"
"1.0","interacts with","Node 36 (interacts with) Node 37","false","interacts with","Node 36 (interacts with) Node 37"
"1.0","interacts with","Node 36 (interacts with) Node 107","false","interacts with","Node 36 (interacts with) Node 107"
"1.0","interacts with","Node 37 (interacts with) Node 38","false","interacts with","Node 37 (interacts with) Node 38"
"1.0","interacts with","Node 37 (interacts with) Node 107","false","interacts with","Node 37 (interacts with) Node 107"
"1.0","interacts with","Node 38 (interacts with) Node 112","false","interacts with","Node 38 (interacts with) Node 112"
"1.0","interacts with","Node 38 (interacts with) Node 39","false","interacts with","Node 38 (interacts with) Node 39"
"1.0","interacts with","Node 38 (interacts with) Node 107","false","interacts with","Node 38 (interacts with) Node 107"
"1.0","interacts with","Node 39 (interacts with) Node 112","false","interacts with","Node 39 (interacts with) Node 112"
"1.0","interacts with","Node 39 (interacts with) Node 40","false","interacts with","Node 39 (interacts with) Node 40"
"1.0","interacts with","Node 39 (interacts with) Node 107","false","interacts with","Node 39 (interacts with) Node 107"
"1.0","interacts with","Node 40 (interacts with) Node 112","false","interacts with","Node 40 (interacts with) Node 112"
"1.0","interacts with","Node 40 (interacts with) Node 41","false","interacts with","Node 40 (interacts with) Node 41"
"1.0","interacts with","Node 40 (interacts with) Node 107","false","interacts with","Node 40 (interacts with) Node 107"
"1.0","interacts with","Node 41 (interacts with) Node 112","false","interacts with","Node 41 (interacts with) Node 112"
"1.0","interacts with","Node 41 (interacts with) Node 42","false","interacts with","Node 41 (interacts with) Node 42"
"1.0","interacts with","Node 41 (interacts with) Node 107","false","interacts with","Node 41 (interacts with) Node 107"
"1.0","interacts with","Node 42 (interacts with) Node 112","false","interacts with","Node 42 (interacts with) Node 112"
"1.0","interacts with","Node 42 (interacts with) Node 43","false","interacts with","Node 42 (interacts with) Node 43"
"1.0","interacts with","Node 42 (interacts with) Node 107","false","interacts with","Node 42 (interacts with) Node 107"
"1.0","interacts with","Node 43 (interacts with) Node 112","false","interacts with","Node 43 (interacts with) Node 112"
"1.0","interacts with","Node 43 (interacts with) Node 107","false","interacts with","Node 43 (interacts with) Node 107"
"1.0","interacts with","Node 43 (interacts with) Node 44","false","interacts with","Node 43 (interacts with) Node 44"
"1.0","interacts with","Node 44 (interacts with) Node 112","false","interacts with","Node 44 (interacts with) Node 112"
"1.0","interacts with","Node 44 (interacts with) Node 107","false","interacts with","Node 44 (interacts with) Node 107"
"1.0","interacts with","Node 44 (interacts with) Node 45","false","interacts with","Node 44 (interacts with) Node 45"
"1.0","interacts with","Node 45 (interacts with) Node 112","false","interacts with","Node 45 (interacts with) Node 112"
"1.0","interacts with","Node 45 (interacts with) Node 107","false","interacts with","Node 45 (interacts with) Node 107"
"1.0","interacts with","Node 45 (interacts with) Node 46","false","interacts with","Node 45 (interacts with) Node 46"
"1.0","interacts with","Node 46 (interacts with) Node 112","false","interacts with","Node 46 (interacts with) Node 112"
"1.0","interacts with","Node 46 (interacts with) Node 107","false","interacts with","Node 46 (interacts with) Node 107"
"1.0","interacts with","Node 46 (interacts with) Node 47","false","interacts with","Node 46 (interacts with) Node 47"
"1.0","interacts with","Node 47 (interacts with) Node 48","false","interacts with","Node 47 (interacts with) Node 48"
"1.0","interacts with","Node 47 (interacts with) Node 112","false","interacts with","Node 47 (interacts with) Node 112"
"1.0","interacts with","Node 47 (interacts with) Node 107","false","interacts with","Node 47 (interacts with) Node 107"
"1.0","interacts with","Node 48 (interacts with) Node 49","false","interacts with","Node 48 (interacts with) Node 49"
"1.0","interacts with","Node 48 (interacts with) Node 107","false","interacts with","Node 48 (interacts with) Node 107"
"1.0","interacts with","Node 49 (interacts with) Node 112","false","interacts with","Node 49 (interacts with) Node 112"
"1.0","interacts with","Node 49 (interacts with) Node 50","false","interacts with","Node 49 (interacts with) Node 50"
"1.0","interacts with","Node 49 (interacts with) Node 107","false","interacts with","Node 49 (interacts with) Node 107"
"1.0","interacts with","Node 50 (interacts with) Node 112","false","interacts with","Node 50 (interacts with) Node 112"
"1.0","interacts with","Node 50 (interacts with) Node 51","false","interacts with","Node 50 (interacts with) Node 51"
"1.0","interacts with","Node 50 (interacts with) Node 107","false","interacts with","Node 50 (interacts with) Node 107"
"1.0","interacts with","Node 51 (interacts with) Node 112","false","interacts with","Node 51 (interacts with) Node 112"
"1.0","interacts with","Node 51 (interacts with) Node 52","false","interacts with","Node 51 (interacts with) Node 52"
"1.0","interacts with","Node 51 (interacts with) Node 107","false","interacts with","Node 51 (interacts with) Node 107"
"1.0","interacts with","Node 52 (interacts with) Node 53","false","interacts with","Node 52 (interacts with) Node 53"
"1.0","interacts with","Node 52 (interacts with) Node 107","false","interacts with","Node 52 (interacts with) Node 107"
"1.0","interacts with","Node 53 (interacts with) Node 112","false","interacts with","Node 53 (interacts with) Node 112"
"1.0","interacts with","Node 53 (interacts with) Node 54","false","interacts with","Node 53 (interacts with) Node 54"
"1.0","interacts with","Node 53 (interacts with) Node 107","false","interacts with","Node 53 (interacts with) Node 107"
